id,catalog_number,description,specifications
1695567,6341-1606,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1 in 25.40 mm|Width:48 in 1219.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:1420 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695566,6341-1605,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1 in 25.40 mm|Width:12 in 304.80 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:345 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695566,6341-1605,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1 in 25.40 mm|Width:10 in 254.00 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:289 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695565,6341-1604,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1 in 25.40 mm|Width:7 in 177.80 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:199 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695562,6341-1248,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1 in 25.40 mm|Width:8 in 203.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:228 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695561,6341-1212,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1 in 25.40 mm|Width:6 in 152.40 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:173 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695561,6341-1212,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1 in 25.40 mm|Width:5 in 127.00 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:144 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695561,6341-1212,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:1 in 25.40 mm|Width:2 in 50.80 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:77 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695557,6341-1206,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/4 in 19.05 mm|Width:48 in 1219.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:1120 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
1695557,6341-1206,"<div class=""plp-item-description"" itemprop=""description"">
            <ul><li>Abrasion and Weather Resistant</li><li>55-60 Durometer</li><li>1,000 PSI Tensile Strength, 300 % Elongation</li><li>Cut Widths (Not Extruded)</li><li>Use with conveyor belt or as chute lining</li></ul>
        </div>",Gauge:3/4 in 19.05 mm|Width:8 in 203.20 mm|Roll Length:50 ft 15.24 m|Weight 50 Feet Roll Length:182 lb|Hardness:55 to 60 duro|Temperature Range:-20 to +180 ºF -29 to +83 ºC|Tensile Strength:1000 psi|Elongation:300 %
